FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.csv.CSVParser.headerComment,Field,No Comment,private String headerComment;,java.lang.String headerComment,private 
org.apache.commons.csv.CSVParser.trailerComment,Field,No Comment,private String trailerComment;,java.lang.String trailerComment,private 
org.apache.commons.csv.CSVParser.format,Field,No Comment,private final CSVFormat format;,org.apache.commons.csv.CSVFormat format,"private , final "
org.apache.commons.csv.CSVParser.headers,Field,No Comment,private final Headers headers;,org.apache.commons.csv.CSVParser$Headers headers,"private , final "
org.apache.commons.csv.CSVParser.lexer,Field,No Comment,private final Lexer lexer;,org.apache.commons.csv.Lexer lexer,"private , final "
org.apache.commons.csv.CSVParser.csvRecordIterator,Field,No Comment,private final CSVRecordIterator csvRecordIterator;,org.apache.commons.csv.CSVParser$CSVRecordIterator csvRecordIterator,"private , final "
org.apache.commons.csv.CSVParser.recordList,Field,A record buffer for getRecord(). Grows as necessary and is reused.,private final List<String> recordList = new ArrayList<>();,java.util.List recordList,"private , final "
org.apache.commons.csv.CSVParser.recordNumber,Field,* The next record number to assign.,private long recordNumber;,long recordNumber,private 
org.apache.commons.csv.CSVParser.characterOffset,Field,* Lexer offset when the parser does not start parsing at the beginning of the source. Usually used in combination\n     * with {@link #recordNumber}.,private final long characterOffset;,long characterOffset,"private , final "
org.apache.commons.csv.CSVParser.reusableToken,Field,No Comment,private final Token reusableToken = new Token();,org.apache.commons.csv.Token reusableToken,"private , final "
org.apache.commons.csv.CSVParser$Builder.format,Field,No Comment,private CSVFormat format;,org.apache.commons.csv.CSVFormat format,private 
org.apache.commons.csv.CSVParser$Builder.characterOffset,Field,No Comment,private long characterOffset;,long characterOffset,private 
org.apache.commons.csv.CSVParser$Builder.recordNumber,Field,No Comment,private long recordNumber = 1;,long recordNumber,private 
org.apache.commons.csv.CSVParser$Builder.trackBytes,Field,No Comment,private boolean trackBytes;,boolean trackBytes,private 
org.apache.commons.csv.CSVParser$CSVRecordIterator.current,Field,No Comment,private CSVRecord current;,org.apache.commons.csv.CSVRecord current,private 
org.apache.commons.csv.CSVParser$Headers.headerMap,Field,* Header column positions (0-based),"final Map<String, Integer> headerMap;",java.util.Map headerMap,final 
org.apache.commons.csv.CSVParser$Headers.headerNames,Field,* Header names in column order,final List<String> headerNames;,java.util.List headerNames,final 
org.apache.commons.csv.CSVPrinter.appendable,Field,The place that the values get written.,private final Appendable appendable;,java.lang.Appendable appendable,"private , final "
org.apache.commons.csv.CSVPrinter.format,Field,No Comment,private final CSVFormat format;,org.apache.commons.csv.CSVFormat format,"private , final "
org.apache.commons.csv.CSVPrinter.newRecord,Field,True if we just began a new record.,private boolean newRecord = true;,boolean newRecord,private 
org.apache.commons.csv.CSVPrinter.recordCount,Field,No Comment,private long recordCount;,long recordCount,private 
org.apache.commons.csv.CSVFormat.DEFAULT,Field,"* Standard Comma Separated Value format, as for {@link #RFC4180} but allowing empty lines.\n     *\n     * <p>\n     * The {@link Builder} settings are:\n     * </p>\n     * <ul>\n     * <li>{@link Builder#setDelimiter(char) setDelimiter}{@code (',')}</li>\n     * <li>{@link Builder#setQuote(char) setQuote}{@code ('""')}</li>\n     * <li>{@link Builder#setRecordSeparator(String) setRecordSeparator}{@code (""\r\n"")}</li>\n     * <li>{@link Builder#setIgnoreEmptyLines(boolean) setIgnoreEmptyLines}{@code (true)}</li>\n     * <li>{@link Builder#setDuplicateHeaderMode(DuplicateHeaderMode) setDuplicateHeaderMode}{@code (DuplicateHeaderMode.ALLOW_ALL)}</li>\n     * </ul>\n     *\n     * @see Predefined#Default\n     * @see DuplicateHeaderMode#ALLOW_ALL",public static final CSVFormat DEFAULT = new CSVFormat(Builder.create());,org.apache.commons.csv.CSVFormat DEFAULT,"public , static , final "
org.apache.commons.csv.CSVFormat.EXCEL,Field,@formatter:off,public static final CSVFormat EXCEL = DEFAULT.builder().setIgnoreEmptyLines(false).setAllowMissingColumnNames(true).setTrailingData(true).setLenientEof(true).get();,org.apache.commons.csv.CSVFormat EXCEL,"public , static , final "
org.apache.commons.csv.CSVFormat.INFORMIX_UNLOAD,Field,@formatter:off,public static final CSVFormat INFORMIX_UNLOAD = DEFAULT.builder().setDelimiter(Constants.PIPE).setEscape(Constants.BACKSLASH).setQuote(Constants.DOUBLE_QUOTE_CHAR).setRecordSeparator(Constants.LF).get();,org.apache.commons.csv.CSVFormat INFORMIX_UNLOAD,"public , static , final "
org.apache.commons.csv.CSVFormat.INFORMIX_UNLOAD_CSV,Field,@formatter:off,public static final CSVFormat INFORMIX_UNLOAD_CSV = DEFAULT.builder().setDelimiter(Constants.COMMA).setQuote(Constants.DOUBLE_QUOTE_CHAR).setRecordSeparator(Constants.LF).get();,org.apache.commons.csv.CSVFormat INFORMIX_UNLOAD_CSV,"public , static , final "
org.apache.commons.csv.CSVFormat.MONGODB_CSV,Field,@formatter:off,public static final CSVFormat MONGODB_CSV = DEFAULT.builder().setDelimiter(Constants.COMMA).setEscape(Constants.DOUBLE_QUOTE_CHAR).setQuote(Constants.DOUBLE_QUOTE_CHAR).setQuoteMode(QuoteMode.MINIMAL).get();,org.apache.commons.csv.CSVFormat MONGODB_CSV,"public , static , final "
org.apache.commons.csv.CSVFormat.MONGODB_TSV,Field,@formatter:off,public static final CSVFormat MONGODB_TSV = DEFAULT.builder().setDelimiter(Constants.TAB).setEscape(Constants.DOUBLE_QUOTE_CHAR).setQuote(Constants.DOUBLE_QUOTE_CHAR).setQuoteMode(QuoteMode.MINIMAL).setSkipHeaderRecord(false).get();,org.apache.commons.csv.CSVFormat MONGODB_TSV,"public , static , final "
org.apache.commons.csv.CSVFormat.MYSQL,Field,@formatter:off,public static final CSVFormat MYSQL = DEFAULT.builder().setDelimiter(Constants.TAB).setEscape(Constants.BACKSLASH).setIgnoreEmptyLines(false).setQuote(null).setRecordSeparator(Constants.LF).setNullString(Constants.SQL_NULL_STRING).setQuoteMode(QuoteMode.ALL_NON_NULL).get();,org.apache.commons.csv.CSVFormat MYSQL,"public , static , final "
org.apache.commons.csv.CSVFormat.ORACLE,Field,@formatter:off,public static final CSVFormat ORACLE = DEFAULT.builder().setDelimiter(Constants.COMMA).setEscape(Constants.BACKSLASH).setIgnoreEmptyLines(false).setQuote(Constants.DOUBLE_QUOTE_CHAR).setNullString(Constants.SQL_NULL_STRING).setTrim(true).setRecordSeparator(System.lineSeparator()).setQuoteMode(QuoteMode.MINIMAL).get();,org.apache.commons.csv.CSVFormat ORACLE,"public , static , final "
org.apache.commons.csv.CSVFormat.POSTGRESQL_CSV,Field,@formatter:off,public static final CSVFormat POSTGRESQL_CSV = DEFAULT.builder().setDelimiter(Constants.COMMA).setEscape(null).setIgnoreEmptyLines(false).setQuote(Constants.DOUBLE_QUOTE_CHAR).setRecordSeparator(Constants.LF).setNullString(Constants.EMPTY).setQuoteMode(QuoteMode.ALL_NON_NULL).get();,org.apache.commons.csv.CSVFormat POSTGRESQL_CSV,"public , static , final "
org.apache.commons.csv.CSVFormat.POSTGRESQL_TEXT,Field,@formatter:off,public static final CSVFormat POSTGRESQL_TEXT = DEFAULT.builder().setDelimiter(Constants.TAB).setEscape(Constants.BACKSLASH).setIgnoreEmptyLines(false).setQuote(null).setRecordSeparator(Constants.LF).setNullString(Constants.SQL_NULL_STRING).setQuoteMode(QuoteMode.ALL_NON_NULL).get();,org.apache.commons.csv.CSVFormat POSTGRESQL_TEXT,"public , static , final "
org.apache.commons.csv.CSVFormat.RFC4180,Field,"* Comma separated format as defined by <a href=""https://tools.ietf.org/html/rfc4180"">RFC 4180</a>.\n     *\n     * <p>\n     * The {@link Builder} settings are the {@link #DEFAULT} <em>with</em>:\n     * </p>\n     * <ul>\n     * <li>{@link Builder#setDelimiter(char) setDelimiter}{@code (',')}</li>\n     * <li>{@link Builder#setQuote(char) setQuote}{@code ('""')}</li>\n     * <li>{@link Builder#setRecordSeparator(String) setRecordSeparator}{@code (""\r\n"")}</li>\n     * <li>{@link Builder#setIgnoreEmptyLines(boolean) setIgnoreEmptyLines}{@code (false)}</li>\n     * </ul>\n     *\n     * @see Predefined#RFC4180\n     * @see <a href=""https://tools.ietf.org/html/rfc4180"">RFC 4180</a>",public static final CSVFormat RFC4180 = DEFAULT.builder().setIgnoreEmptyLines(false).get();,org.apache.commons.csv.CSVFormat RFC4180,"public , static , final "
org.apache.commons.csv.CSVFormat.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 2L;,long serialVersionUID,"private , static , final "
