FEN:ID,:LABEL,CFG_Path
org.apache.commons.csv.CSVParser.builder().CFG_Path_1,CFG_Path,"CFG Nodes:\n""1"" [label=""$stack0 = new org.apache.commons.csv.CSVParser$Builder""];\n""3"" [label=""specialinvoke $stack0.<org.apache.commons.csv.CSVParser$Builder: void <init>()>()""];\n""2"" [label=""return $stack0""];\n\nCFG Edges:\n""1"" -> ""3""[label=""cfg_next""];\n""3"" -> ""2""[label=""cfg_next""];\n\nCFG Path: ['1', '3', '2']\n"
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat).CFG_Path_1",CFG_Path,"CFG Nodes:\n""4"" [label=""file := @parameter0: java.io.File""];\n""3"" [label=""charset := @parameter1: java.nio.charset.Charset""];\n""5"" [label=""format := @parameter2: org.apache.commons.csv.CSVFormat""];\n""7"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(file, \""file\"")""];\n""1"" [label=""$stack3 = virtualinvoke file.<java.io.File: java.nio.file.Path toPath()>()""];\n""2"" [label=""$stack4 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.nio.file.Path,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)>($stack3, charset, format)""];\n""6"" [label=""return $stack4""];\n\nCFG Edges:\n""4"" -> ""3""[label=""cfg_next""];\n""3"" -> ""5""[label=""cfg_next""];\n""5"" -> ""7""[label=""cfg_next""];\n""7"" -> ""1""[label=""cfg_next""];\n""1"" -> ""2""[label=""cfg_next""];\n""2"" -> ""6""[label=""cfg_next""];\n\nCFG Path: ['4', '3', '5', '7', '1', '2', '6']\n"
"org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat).CFG_Path_1",CFG_Path,"CFG Nodes:\n""5"" [label=""inputStream := @parameter0: java.io.InputStream""];\n""3"" [label=""charset := @parameter1: java.nio.charset.Charset""];\n""4"" [label=""format := @parameter2: org.apache.commons.csv.CSVFormat""];\n""9"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(inputStream, \""inputStream\"")""];\n""8"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(format, \""format\"")""];\n""1"" [label=""$stack3 = new java.io.InputStreamReader""];\n""7"" [label=""specialinvoke $stack3.<java.io.InputStreamReader: void <init>(java.io.InputStream,java.nio.charset.Charset)>(inputStream, charset)""];\n""2"" [label=""$stack4 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.io.Reader,org.apache.commons.csv.CSVFormat)>($stack3, format)""];\n""6"" [label=""return $stack4""];\n\nCFG Edges:\n""5"" -> ""3""[label=""cfg_next""];\n""3"" -> ""4""[label=""cfg_next""];\n""4"" -> ""9""[label=""cfg_next""];\n""9"" -> ""8""[label=""cfg_next""];\n""8"" -> ""1""[label=""cfg_next""];\n""1"" -> ""7""[label=""cfg_next""];\n""7"" -> ""2""[label=""cfg_next""];\n""2"" -> ""6""[label=""cfg_next""];\n\nCFG Path: ['5', '3', '4', '9', '8', '1', '7', '2', '6']\n"
"org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat).CFG_Path_1",CFG_Path,"CFG Nodes:\n""6"" [label=""path := @parameter0: java.nio.file.Path""];\n""4"" [label=""charset := @parameter1: java.nio.charset.Charset""];\n""5"" [label=""format := @parameter2: org.apache.commons.csv.CSVFormat""];\n""9"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(path, \""path\"")""];\n""8"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(format, \""format\"")""];\n""1"" [label=""$stack3 = newarray (java.nio.file.OpenOption)[0]""];\n""2"" [label=""$stack4 = staticinvoke <java.nio.file.Files: java.io.InputStream newInputStream(java.nio.file.Path,java.nio.file.OpenOption[])>(path, $stack3)""];\n""3"" [label=""$stack5 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.io.InputStream,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)>($stack4, charset, format)""];\n""7"" [label=""return $stack5""];\n\nCFG Edges:\n""6"" -> ""4""[label=""cfg_next""];\n""4"" -> ""5""[label=""cfg_next""];\n""5"" -> ""9""[label=""cfg_next""];\n""9"" -> ""8""[label=""cfg_next""];\n""8"" -> ""1""[label=""cfg_next""];\n""1"" -> ""2""[label=""cfg_next""];\n""2"" -> ""3""[label=""cfg_next""];\n""3"" -> ""7""[label=""cfg_next""];\n\nCFG Path: ['6', '4', '5', '9', '8', '1', '2', '3', '7']\n"
"org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat).CFG_Path_1",CFG_Path,"CFG Nodes:\n""7"" [label=""reader := @parameter0: java.io.Reader""];\n""6"" [label=""format := @parameter1: org.apache.commons.csv.CSVFormat""];\n""1"" [label=""$stack2 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser$Builder builder()>()""];\n""2"" [label=""$stack3 = virtualinvoke $stack2.<org.apache.commons.csv.CSVParser$Builder: org.apache.commons.io.build.AbstractOriginSupplier setReader(java.io.Reader)>(reader)""];\n""3"" [label=""$stack4 = (org.apache.commons.csv.CSVParser$Builder) $stack3""];\n""4"" [label=""$stack5 = virtualinvoke $stack4.<org.apache.commons.csv.CSVParser$Builder: org.apache.commons.csv.CSVParser$Builder setFormat(org.apache.commons.csv.CSVFormat)>(format)""];\n""5"" [label=""$stack6 = virtualinvoke $stack5.<org.apache.commons.csv.CSVParser$Builder: org.apache.commons.csv.CSVParser get()>()""];\n""8"" [label=""return $stack6""];\n\nCFG Edges:\n""7"" -> ""6""[label=""cfg_next""];\n""6"" -> ""1""[label=""cfg_next""];\n""1"" -> ""2""[label=""cfg_next""];\n""2"" -> ""3""[label=""cfg_next""];\n""3"" -> ""4""[label=""cfg_next""];\n""4"" -> ""5""[label=""cfg_next""];\n""5"" -> ""8""[label=""cfg_next""];\n\nCFG Path: ['7', '6', '1', '2', '3', '4', '5', '8']\n"
"org.apache.commons.csv.CSVParser.parse(String,CSVFormat).CFG_Path_1",CFG_Path,"CFG Nodes:\n""8"" [label=""string := @parameter0: java.lang.String""];\n""3"" [label=""format := @parameter1: org.apache.commons.csv.CSVFormat""];\n""7"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(string, \""string\"")""];\n""6"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(format, \""format\"")""];\n""1"" [label=""$stack2 = new java.io.StringReader""];\n""5"" [label=""specialinvoke $stack2.<java.io.StringReader: void <init>(java.lang.String)>(string)""];\n""2"" [label=""$stack3 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.io.Reader,org.apache.commons.csv.CSVFormat)>($stack2, format)""];\n""4"" [label=""return $stack3""];\n\nCFG Edges:\n""8"" -> ""3""[label=""cfg_next""];\n""3"" -> ""7""[label=""cfg_next""];\n""7"" -> ""6""[label=""cfg_next""];\n""6"" -> ""1""[label=""cfg_next""];\n""1"" -> ""5""[label=""cfg_next""];\n""5"" -> ""2""[label=""cfg_next""];\n""2"" -> ""4""[label=""cfg_next""];\n\nCFG Path: ['8', '3', '7', '6', '1', '5', '2', '4']\n"
"org.apache.commons.csv.CSVParser.parse(URL,Charset,CSVFormat).CFG_Path_1",CFG_Path,"CFG Nodes:\n""7"" [label=""url := @parameter0: java.net.URL""];\n""3"" [label=""charset := @parameter1: java.nio.charset.Charset""];\n""4"" [label=""format := @parameter2: org.apache.commons.csv.CSVFormat""];\n""6"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(url, \""url\"")""];\n""1"" [label=""$stack3 = virtualinvoke url.<java.net.URL: java.io.InputStream openStream()>()""];\n""2"" [label=""$stack4 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.io.InputStream,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)>($stack3, charset, format)""];\n""5"" [label=""return $stack4""];\n\nCFG Edges:\n""7"" -> ""3""[label=""cfg_next""];\n""3"" -> ""4""[label=""cfg_next""];\n""4"" -> ""6""[label=""cfg_next""];\n""6"" -> ""1""[label=""cfg_next""];\n""1"" -> ""2""[label=""cfg_next""];\n""2"" -> ""5""[label=""cfg_next""];\n\nCFG Path: ['7', '3', '4', '6', '1', '2', '5']\n"
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_1,CFG_Path,"CFG Nodes:\n""18"" [label=""this := @this: org.apache.commons.csv.CSVParser""];\n""15"" [label=""lastRecord := @parameter0: boolean""];\n""5"" [label=""$stack5 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVFormat format>""];\n""3"" [label=""$stack3 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>""];\n""4"" [label=""$stack4 = $stack3.<org.apache.commons.csv.Token: java.lang.StringBuilder content>""];\n""6"" [label=""$stack6 = virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.String toString()>()""];\n""13"" [label=""input = virtualinvoke $stack5.<org.apache.commons.csv.CSVFormat: java.lang.String trim(java.lang.String)>($stack6)""];\n""12"" [label=""if lastRecord == 0""];\n""7"" [label=""$stack7 = this.<org.apache.commons.csv.CSVParser: java.util.List recordList>""];\n""8"" [label=""$stack8 = specialinvoke this.<org.apache.commons.csv.CSVParser: java.lang.String handleNull(java.lang.String)>(input)""];\n""14"" [label=""interfaceinvoke $stack7.<java.util.List: boolean add(java.lang.Object)>($stack8)""];\n""17"" [label=""return""];\n\nCFG Edges:\n""18"" -> ""15""[label=""cfg_next""];\n""15"" -> ""5""[label=""cfg_next""];\n""5"" -> ""3""[label=""cfg_next""];\n""3"" -> ""4""[label=""cfg_next""];\n""4"" -> ""6""[label=""cfg_next""];\n""6"" -> ""13""[label=""cfg_next""];\n""13"" -> ""12""[label=""cfg_next""];\n""12"" -> ""7""[label=""cfg_true""];\n""7"" -> ""8""[label=""cfg_next""];\n""8"" -> ""14""[label=""cfg_next""];\n""14"" -> ""17""[label=""cfg_next""];\n\nCFG Path: ['18', '15', '5', '3', '4', '6', '13', '12', '7', '8', '14', '17']\n"
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_2,CFG_Path,"CFG Nodes:\n""18"" [label=""this := @this: org.apache.commons.csv.CSVParser""];\n""15"" [label=""lastRecord := @parameter0: boolean""];\n""5"" [label=""$stack5 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVFormat format>""];\n""3"" [label=""$stack3 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>""];\n""4"" [label=""$stack4 = $stack3.<org.apache.commons.csv.Token: java.lang.StringBuilder content>""];\n""6"" [label=""$stack6 = virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.String toString()>()""];\n""13"" [label=""input = virtualinvoke $stack5.<org.apache.commons.csv.CSVFormat: java.lang.String trim(java.lang.String)>($stack6)""];\n""12"" [label=""if lastRecord == 0""];\n""9"" [label=""$stack9 = virtualinvoke input.<java.lang.String: boolean isEmpty()>()""];\n""11"" [label=""if $stack9 == 0""];\n""1"" [label=""$stack10 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVFormat format>""];\n""2"" [label=""$stack11 = virtualinvoke $stack10.<org.apache.commons.csv.CSVFormat: boolean getTrailingDelimiter()>()""];\n""10"" [label=""if $stack11 == 0""];\n""7"" [label=""$stack7 = this.<org.apache.commons.csv.CSVParser: java.util.List recordList>""];\n""8"" [label=""$stack8 = specialinvoke this.<org.apache.commons.csv.CSVParser: java.lang.String handleNull(java.lang.String)>(input)""];\n""14"" [label=""interfaceinvoke $stack7.<java.util.List: boolean add(java.lang.Object)>($stack8)""];\n""17"" [label=""return""];\n\nCFG Edges:\n""18"" -> ""15""[label=""cfg_next""];\n""15"" -> ""5""[label=""cfg_next""];\n""5"" -> ""3""[label=""cfg_next""];\n""3"" -> ""4""[label=""cfg_next""];\n""4"" -> ""6""[label=""cfg_next""];\n""6"" -> ""13""[label=""cfg_next""];\n""13"" -> ""12""[label=""cfg_next""];\n""12"" -> ""9""[label=""cfg_false""];\n""9"" -> ""11""[label=""cfg_next""];\n""11"" -> ""1""[label=""cfg_false""];\n""1"" -> ""2""[label=""cfg_next""];\n""2"" -> ""10""[label=""cfg_next""];\n""10"" -> ""7""[label=""cfg_true""];\n""7"" -> ""8""[label=""cfg_next""];\n""8"" -> ""14""[label=""cfg_next""];\n""14"" -> ""17""[label=""cfg_next""];\n\nCFG Path: ['18', '15', '5', '3', '4', '6', '13', '12', '9', '11', '1', '2', '10', '7', '8', '14', '17']\n"
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_3,CFG_Path,"CFG Nodes:\n""18"" [label=""this := @this: org.apache.commons.csv.CSVParser""];\n""15"" [label=""lastRecord := @parameter0: boolean""];\n""5"" [label=""$stack5 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVFormat format>""];\n""3"" [label=""$stack3 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>""];\n""4"" [label=""$stack4 = $stack3.<org.apache.commons.csv.Token: java.lang.StringBuilder content>""];\n""6"" [label=""$stack6 = virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.String toString()>()""];\n""13"" [label=""input = virtualinvoke $stack5.<org.apache.commons.csv.CSVFormat: java.lang.String trim(java.lang.String)>($stack6)""];\n""12"" [label=""if lastRecord == 0""];\n""9"" [label=""$stack9 = virtualinvoke input.<java.lang.String: boolean isEmpty()>()""];\n""11"" [label=""if $stack9 == 0""];\n""1"" [label=""$stack10 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVFormat format>""];\n""2"" [label=""$stack11 = virtualinvoke $stack10.<org.apache.commons.csv.CSVFormat: boolean getTrailingDelimiter()>()""];\n""10"" [label=""if $stack11 == 0""];\n""16"" [label=""return""];\n\nCFG Edges:\n""18"" -> ""15""[label=""cfg_next""];\n""15"" -> ""5""[label=""cfg_next""];\n""5"" -> ""3""[label=""cfg_next""];\n""3"" -> ""4""[label=""cfg_next""];\n""4"" -> ""6""[label=""cfg_next""];\n""6"" -> ""13""[label=""cfg_next""];\n""13"" -> ""12""[label=""cfg_next""];\n""12"" -> ""9""[label=""cfg_false""];\n""9"" -> ""11""[label=""cfg_next""];\n""11"" -> ""1""[label=""cfg_false""];\n""1"" -> ""2""[label=""cfg_next""];\n""2"" -> ""10""[label=""cfg_next""];\n""10"" -> ""16""[label=""cfg_false""];\n\nCFG Path: ['18', '15', '5', '3', '4', '6', '13', '12', '9', '11', '1', '2', '10', '16']\n"
