"FEN","Type","Comment","Source Code","Return Type","Modifier","class_extends","implements"
"org.apache.commons.csv.CSVParser","Class","* Parses CSV files according to the specified format.
 *
 * Because CSV appears in many different dialects, the parser supports many formats by allowing the
 * specification of a {@link CSVFormat}.
 *
 * The parser works record-wise. It is not possible to go back, once a record has been parsed from the input stream.
 *
 * <h2>Creating instances</h2>
 * <p>
 * There are several static factory methods that can be used to create instances for various types of resources:
 * </p>
 * <ul>
 *     <li>{@link #parse(java.io.File, Charset, CSVFormat)}</li>
 *     <li>{@link #parse(String, CSVFormat)}</li>
 *     <li>{@link #parse(java.net.URL, java.nio.charset.Charset, CSVFormat)}</li>
 * </ul>
 * <p>
 * Alternatively parsers can also be created by passing a {@link Reader} directly to the sole constructor.
 *
 * For those who like fluent APIs, parsers can be created using {@link CSVFormat#parse(java.io.Reader)} as a shortcut:
 * </p>
 * <pre>
 * for (CSVRecord record : CSVFormat.EXCEL.parse(in)) {
 *     ...
 * }
 * </pre>
 *
 * <h2>Parsing record wise</h2>
 * <p>
 * To parse a CSV input from a file, you write:
 * </p>
 *
 * <pre>{@code
 * File csvData = new File(""/path/to/csv"");
 * CSVParser parser = CSVParser.parse(csvData, CSVFormat.RFC4180);
 * for (CSVRecord csvRecord : parser) {
 *     ...
 * }}
 * </pre>
 *
 * <p>
 * This will read the parse the contents of the file using the
 * <a href=""https://tools.ietf.org/html/rfc4180"" target=""_blank"">RFC 4180</a> format.
 * </p>
 *
 * <p>
 * To parse CSV input in a format like Excel, you write:
 * </p>
 *
 * <pre>
 * CSVParser parser = CSVParser.parse(csvData, CSVFormat.EXCEL);
 * for (CSVRecord csvRecord : parser) {
 *     ...
 * }
 * </pre>
 *
 * <p>
 * If the predefined formats don't match the format at hand, custom formats can be defined. More information about
 * customizing CSVFormats is available in {@link CSVFormat CSVFormat Javadoc}.
 * </p>
 *
 * <h2>Parsing into memory</h2>
 * <p>
 * If parsing record-wise is not desired, the contents of the input can be read completely into memory.
 * </p>
 *
 * <pre>{@code
 * Reader in = new StringReader(""a;b\nc;d"");
 * CSVParser parser = new CSVParser(in, CSVFormat.EXCEL);
 * List<CSVRecord> list = parser.getRecords();
 * }</pre>
 *
 * <p>
 * There are two constraints that have to be kept in mind:
 * </p>
 *
 * <ol>
 *     <li>Parsing into memory starts at the current position of the parser. If you have already parsed records from
 *     the input, those records will not end up in the in-memory representation of your CSV data.</li>
 *     <li>Parsing into memory may consume a lot of system resources depending on the input. For example, if you're
 *     parsing a 150MB file of CSV data the contents will be read completely into memory.</li>
 * </ol>
 *
 * <h2>Notes</h2>
 * <p>
 * The internal parser state is completely covered by the format and the reader state.
 * </p>
 *
 * @see <a href=""package-summary.html"">package documentation for more details</a>","Class do not obtain Source Code","No return type","public , final ","","java.lang.Iterable;java.io.Closeable"
"org.apache.commons.csv.CSVParser.headerComment","Field","No Comment","private String headerComment;","No return type","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.trailerComment","Field","No Comment","private String trailerComment;","No return type","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.format","Field","No Comment","private final CSVFormat format;","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.headers","Field","No Comment","private final Headers headers;","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.lexer","Field","No Comment","private final Lexer lexer;","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.csvRecordIterator","Field","No Comment","private final CSVRecordIterator csvRecordIterator;","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.recordList","Field","A record buffer for getRecord(). Grows as necessary and is reused.","private final List<String> recordList = new ArrayList<>();","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.recordNumber","Field","* The next record number to assign.","private long recordNumber;","No return type","private ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.characterOffset","Field","* Lexer offset when the parser does not start parsing at the beginning of the source. Usually used in combination
     * with {@link #recordNumber}.","private final long characterOffset;","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.reusableToken","Field","No Comment","private final Token reusableToken = new Token();","No return type","private , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.builder()","Method","* Creates a new builder.
     *
     * @return a new builder.
     * @since 1.13.0","public static Builder builder() {
    return new Builder();
}","Builder","public , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat)","Method","* Creates a parser for the given {@link File}.
     *
     * @param file
     *            a CSV file. Must not be null.
     * @param charset
     *            The Charset to decode the given file.
     * @param format
     *            the CSVFormat used for CSV parsing. Must not be null.
     * @return a new parser
     * @throws IllegalArgumentException
     *             If the parameters of the format are inconsistent or if either file or format are null.
     * @throws IOException
     *             If an I/O error occurs
     * @throws CSVException Thrown on invalid input.","public static CSVParser parse(final File file, final Charset charset, final CSVFormat format) throws IOException {
    Objects.requireNonNull(file, ""file"");
    return parse(file.toPath(), charset, format);
}","CSVParser","public , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat).file","Parameter_1","Belong to org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat).charset","Parameter_2","Belong to org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
